Round,Word_term-based@1,Word_phrase-replaced@1,Word_term-phrase-both@1,LDA_pure_textbook_all_200@1,LDA_textbook_sigir_citation-high_100@1,LDA_textbook_sigir_2009-2015_200@1,LDA_textbook_sigir_2009-2015_100@1,LDA_textbook_sigir_all_150@1,LDA_textbook_sigir_1971-2001_100@1,LDA_textbook_sigir_2002-2008_100@1,LDA_textbook_sigir_all_200@1,LDA_textbook_sigir_1971-2001_200@1,LDA_textbook_sigir_citation-high_200@1,LDA_pure_textbook_two_150@1,LDA_textbook_sigir_all_100@1,LDA_textbook_sigir_citation-medium_200@1,LDA_textbook_sigir_citation-medium_150@1,LDA_textbook_sigir_citation-low_150@1,LDA_textbook_sigir_2002-2008_150@1,LDA_textbook_sigir_citation-high_150@1,LDA_pure_textbook_all_150@1,LDA_textbook_sigir_2009-2015_150@1,LDA_textbook_sigir_2002-2008_200@1,LDA_textbook_sigir_citation-low_100@1,LDA_pure_textbook_two_100@1,LDA_textbook_sigir_citation-medium_100@1,LDA_pure_textbook_all_100@1,LDA_pure_textbook_two_200@1,LDA_textbook_sigir_1971-2001_150@1,LDA_textbook_sigir_citation-low_200@1,Word_term-based@3,Word_phrase-replaced@3,Word_term-phrase-both@3,LDA_pure_textbook_all_200@3,LDA_textbook_sigir_citation-high_100@3,LDA_textbook_sigir_2009-2015_200@3,LDA_textbook_sigir_2009-2015_100@3,LDA_textbook_sigir_all_150@3,LDA_textbook_sigir_1971-2001_100@3,LDA_textbook_sigir_2002-2008_100@3,LDA_textbook_sigir_all_200@3,LDA_textbook_sigir_1971-2001_200@3,LDA_textbook_sigir_citation-high_200@3,LDA_pure_textbook_two_150@3,LDA_textbook_sigir_all_100@3,LDA_textbook_sigir_citation-medium_200@3,LDA_textbook_sigir_citation-medium_150@3,LDA_textbook_sigir_citation-low_150@3,LDA_textbook_sigir_2002-2008_150@3,LDA_textbook_sigir_citation-high_150@3,LDA_pure_textbook_all_150@3,LDA_textbook_sigir_2009-2015_150@3,LDA_textbook_sigir_2002-2008_200@3,LDA_textbook_sigir_citation-low_100@3,LDA_pure_textbook_two_100@3,LDA_textbook_sigir_citation-medium_100@3,LDA_pure_textbook_all_100@3,LDA_pure_textbook_two_200@3,LDA_textbook_sigir_1971-2001_150@3,LDA_textbook_sigir_citation-low_200@3
10,0.3,0.3,0.3,0.3,0.2,0.2,0.5,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.2,0.4,0.3,0.3,0.2,0.3,0.475,0.2,0.4,0.4,0.3,0.4,0.3,0.559899714814,0.376018753343,0.606246024628,0.380227271285,0.473927844829,0.561002066843,0.55,0.471990623328,0.476032359257,0.522992690172,0.522992690172,0.561002066843,0.459899714814,0.497909091486,0.519338999985,0.587188017557,0.547909091486,0.487188017557,0.649278926071,0.400113795543,0.61,0.459899714814,0.459899714814,0.587020820186,0.522992690172,0.556246024628,0.561002066843,0.5240950422,0.586018753343,0.486085665529
11,0.4,0.333333333333,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.5,0.3,0.490064739362,0.484030302838,0.457984848581,0.547909091486,0.426971764005,0.521077823938,0.513878788648,0.48953133626,0.461002066843,0.607984848581,0.534170799295,0.561002066843,0.447909091486,0.476971764005,0.511002066843,0.561002066843,0.547909091486,0.540064739362,0.561002066843,0.547909091486,0.507984848581,0.411002066843,0.458518251684,0.497909091486,0.495425276327,0.407066660337,0.626971764005,0.547909091486,0.507984848581,0.611002066843
12,0.4,0.433333333333,0.4,0.6,0.4,0.4,0.6,0.5,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.6,0.45,0.4,0.4,0.5,0.542745007844,0.581350034356,0.586851067777,0.547909091486,0.457984848581,0.568397555456,0.626971764005,0.495228823004,0.558321798361,0.557984848581,0.621077823938,0.622909091486,0.547909091486,0.411198520166,0.523304408391,0.547909091486,0.597909091486,0.611198520166,0.497909091486,0.481242424819,0.621077823938,0.595228823004,0.511198520166,0.636002066843,0.558518251684,0.563878788648,0.638878788648,0.511002066843,0.457984848581,0.595228823004
13,0.4,0.213333333333,0.4,0.363333333333,0.38,0.28,0.38,0.48,0.28,0.48,0.38,0.18,0.38,0.113333333333,0.38,0.38,0.5,0.263333333333,0.28,0.363333333333,0.463333333333,0.38,0.28,0.4,0.3,0.38,0.48,0.28,0.2,0.28,0.650472927688,0.547123278195,0.660669635612,0.580902267881,0.650472927688,0.623762610969,0.623057915757,0.718393036907,0.592655862088,0.697236503316,0.609150451278,0.650379263384,0.617260545184,0.60862555925,0.611002066843,0.613686853874,0.687160746221,0.662649727431,0.708317279812,0.571410255169,0.63056983665,0.720494079555,0.560455020479,0.68750090316,0.703470600322,0.514454807324,0.678525760288,0.671410255169,0.535981718826,0.650593878517
14,0.383333333333,0.283333333333,0.383333333333,0.3,0.283333333333,0.283333333333,0.283333333333,0.283333333333,0.283333333333,0.283333333333,0.283333333333,0.183333333333,0.383333333333,0.283333333333,0.3,0.283333333333,0.383333333333,0.2,0.383333333333,0.183333333333,0.383333333333,0.383333333333,0.383333333333,0.183333333333,0.183333333333,0.2,0.383333333333,0.3,0.383333333333,0.2,0.529166666667,0.346623967143,0.529166666667,0.625592975357,0.325592975357,0.325592975357,0.388685950714,0.4625,0.457139463036,0.463092975357,0.492259642024,0.392259642024,0.3625,0.529166666667,0.4625,0.488685950714,0.366666666667,0.392259642024,0.492259642024,0.4625,0.4625,0.4,0.4625,0.429166666667,0.492259642024,0.487697658452,0.525592975357,0.4625,0.425592975357,0.392259642024
15,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.25,0.2,0.2,0.2,0.2,0.15,0.3,0.2,0.2,0.2,0.2,0.3,0.25,0.1,0.2,0.2,0.535799906044,0.282072800092,0.474860886755,0.662294223812,0.325387199169,0.598892881401,0.580469509644,0.474860886755,0.44642630869,0.477541155238,0.566820081309,0.53580802378,0.427541155238,0.377789241162,0.437689540717,0.575387199169,0.527541155238,0.487953862113,0.48555182012,0.495627557145,0.534123967143,0.437953862113,0.390634130595,0.550387199169,0.520026662205,0.470729026927,0.663480174526,0.49642630869,0.4,0.70961395533
16,0.2,0.2,0.2,0.4,0.2,0.2,0.0,0.2,0.2,0.0,0.266666666667,0.1,0.3,0.2,0.3,0.1,0.2,0.166666666667,0.2,0.2,0.1,0.3,0.1,0.1,0.2,0.166666666667,0.3,0.1,0.3,0.0666666666667,0.610412706875,0.447319731518,0.647319731518,0.753578023804,0.563092975357,0.636477508306,0.663092975357,0.647319731518,0.526185950714,0.416698932025,0.653727105952,0.577910390446,0.508809416427,0.610412706875,0.676018753343,0.600948760571,0.526185950714,0.679404708214,0.616370145048,0.567376534287,0.541311732856,0.710412706875,0.655655231098,0.716311732856,0.663092975357,0.294917689525,0.743852888094,0.363092975357,0.6,0.706007998661
17,0.5,0.333333333333,0.4,0.4,0.5,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.5,0.3,0.475,0.4,0.5,0.5,0.4,0.7,0.4,0.60315409933,0.606943009713,0.579578339063,0.671411158329,0.471411158329,0.565713671585,0.602564739362,0.567728823004,0.524450827415,0.682079890781,0.581486915424,0.646411158329,0.471411158329,0.60315409933,0.616822313485,0.597597109043,0.508911158329,0.597793562366,0.5465950422,0.583318182972,0.577804580099,0.49313791449,0.571607611652,0.746411158329,0.61892734317,0.571607611652,0.599287880134,0.571411158329,0.630484848581,0.618730889847
18,0.5,0.233333333333,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.4,0.2,0.3,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.375,0.2,0.2,0.5,0.3,0.3,0.2,0.374287880134,0.409623278195,0.350712119866,0.321411158329,0.374287880134,0.368393940067,0.389471764005,0.368393940067,0.358318182972,0.505893940067,0.368393940067,0.321411158329,0.358318182972,0.374287880134,0.403729338128,0.421411158329,0.395818182972,0.337380855491,0.333502066843,0.358318182972,0.380484848581,0.395818182972,0.368393940067,0.458318182972,0.374287880134,0.494106059933,0.374287880134,0.358318182972,0.380484848581,0.358318182972
19,0.5,0.28,0.4,0.48,0.38,0.28,0.38,0.28,0.38,0.18,0.346666666667,0.38,0.48,0.4,0.28,0.28,0.28,0.346666666667,0.48,0.28,0.28,0.48,0.38,0.4,0.28,0.346666666667,0.28,0.38,0.6,0.346666666667,0.514575758153,0.321030991786,0.496893937952,0.630227271285,0.347909091486,0.452008513786,0.463092975357,0.47766873351,0.500948760571,0.579854954937,0.505209888747,0.540640559583,0.489220824342,0.514575758153,0.569338999985,0.611950827415,0.46189548967,0.518980466366,0.58139747204,0.530532557199,0.515824443455,0.547909091486,0.522911257733,0.518980466366,0.47766873351,0.517924929737,0.579854954937,0.511002066843,0.651311732856,0.636357000653
